id,media_labs,minitestes,media_provas,projeto,p2,media_parcial,prova_final,media_final,periodo,professor,prova_1,prova_2,prova_3,reposicao,elab_p1,elab_p2,elab_p3,elab_repo,correcao_p1,correcao_p2,correcao_p3,correcao_repo
1,6.80,7.50,7.00,8.10,,7.40,,,2017/2,Lívia,7.55,8.70,4.75,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
2,3.90,0.00,2.60,0.00,,,,,2017/2,Lívia,7.75,0.00,0.00,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
3,9.50,7.00,7.20,9.00,5.90,7.60,,,2017/2,Lívia,7.60,7.50,6.35,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
4,9.80,9.30,8.50,8.90,8.60,8.80,,,2017/2,Lívia,7.75,9.55,8.10,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
5,9.50,6.00,6.00,8.70,5.90,7.10,,,2017/2,Lívia,6.30,7.30,,4.50,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
6,9.70,9.80,9.20,9.60,8.80,9.30,,,2017/2,Lívia,9.25,9.10,9.20,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
7,4.70,5.30,7.20,7.20,7.70,6.80,5.60,5.60,2017/2,Lívia,7.15,8.85,5.65,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
8,2.00,,,,,,,,2017/2,Lívia,,,,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
9,9.20,9.50,9.30,8.90,6.70,8.70,,,2017/2,Lívia,6.40,9.05,9.30,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
10,2.00,,,,,,,,2017/2,Lívia,7.00,,,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
11,3.20,5.00,7.70,9.20,4.10,6.50,6.40,6.40,2017/2,Lívia,4.20,5.55,7.65,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
12,9.80,10.00,9.50,9.90,8.60,9.50,,,2017/2,Lívia,7.45,8.35,9.50,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
13,0.00,,,,,,,,2017/2,Lívia,,,,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
14,9.70,9.80,8.70,9.20,8.40,9.00,,,2017/2,Lívia,10.00,9.05,7.10,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
15,9.90,9.50,9.40,8.80,9.40,9.30,,,2017/2,Lívia,9.40,8.90,,10.00,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
16,0.00,,,,,,,,2017/2,Lívia,,,,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
17,9.20,9.50,8.30,9.40,8.60,8.90,,,2017/2,Lívia,8.65,8.85,7.40,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
18,0.00,,,,,,,,2017/2,Lívia,,,,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
19,7.60,8.80,7.00,8.70,3.20,7.00,,,2017/2,Lívia,6.70,7.60,6.55,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
20,2.80,4.00,6.80,7.10,5.80,5.90,6.10,6.00,2017/2,Lívia,,6.55,5.85,8.10,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
21,9.60,8.60,7.30,9.10,6.30,8.00,,,2017/2,Lívia,6.10,9.45,6.45,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
22,9.10,9.00,8.90,9.40,8.60,9.00,,,2017/2,Lívia,9.25,9.30,8.00,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
23,2.00,,,,,,,,2017/2,Lívia,,,,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
24,8.80,2.30,6.80,8.40,7.70,7.10,,,2017/2,Lívia,1.20,,6.75,6.80,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
25,0.00,6.30,5.20,8.80,6.30,5.80,3.00,4.70,2017/2,Lívia,,5.50,2.95,7.00,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
26,8.60,7.80,7.90,9.10,7.30,8.10,,,2017/2,Lívia,8.10,8.20,7.25,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
27,3.10,3.80,1.10,8.90,4.70,4.30,1.80,3.30,2017/2,Lívia,,0.40,0.00,2.90,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
28,0.00,,,,,,,,2017/2,Lívia,,0.00,,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
29,8.90,9.40,8.00,9.40,8.30,8.60,,,2017/2,Lívia,8.95,9.30,5.65,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
30,9.90,10.00,8.70,9.50,8.80,9.20,,,2017/2,Lívia,8.95,7.45,8.65,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
31,9.70,9.30,8.30,9.30,7.40,8.60,,,2017/2,Lívia,6.85,8.05,8.25,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
32,7.00,3.00,6.20,8.40,6.90,6.60,4.90,5.90,2017/2,Lívia,3.90,,6.15,7.70,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
33,1.90,0.00,1.20,0.00,1.80,1.00,,,2017/2,Lívia,3.65,0.00,0.00,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
34,1.60,,2.30,0.00,,,,,2017/2,Lívia,6.90,0.00,0.00,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
35,6.90,8.50,7.30,8.60,5.50,7.30,,,2017/2,Lívia,7.60,,5.40,8.80,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
36,9.50,9.40,10.00,9.20,9.20,9.50,,,2017/2,Lívia,10.00,9.50,10.00,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
37,9.60,9.30,9.80,9.60,9.00,9.50,,,2017/2,Lívia,9.60,8.55,9.80,,Matheus/Lívia,Matheus,Lívia,Matheus,Lívia,Lívia,Lívia,Lívia
38,6.47,,1.03,5.70,3.50,3.08,,3.08,2018/1,Eliane,2.10,,0.00,1.00,Lívia,Matheus,Eliane,Raquel,Lívia,Matheus,Eliane,Raquel
39,2.62,,,,,,,,2018/1,Eliane,,,,,Lívia,Matheus,Eliane,Raquel,Lívia,Matheus,Eliane,Raquel
40,7.60,,2.20,6.20,6.00,4.35,3.00,3.81,2018/1,Eliane,3.60,,,0.80,Lívia,Matheus,Eliane,Raquel,Lívia,Matheus,Eliane,Raquel
41,2.66,,5.53,8.00,8.63,6.51,6.70,6.59,2018/1,Eliane,5.10,,3.40,8.10,Lívia,Matheus,Eliane,Raquel,Lívia,Matheus,Eliane,Raquel
